Name,About,Portfolio,Founders,Past Investors,Employees,Advisors,Profile Claimed,Portfolio Links,Founder Links,Investor Links,Employee Links,Advisor Links
"Alven Capital Partners","","","","","","",No,"","","","",""
"Amadeus Capital Partners Ltd.","","","","","Alex Van Someren,Laurencejohn1,Andrew Bertolina,Simon Glass","",No,"","","","https://angel.co/alexvs,https://angel.co/laurencejohn1,https://angel.co/andrew-bertolina,https://angel.co/simon-glass",""
"Ambition.vc","We look to invest in companies that take advantage of changing marketplaces by creating technologies which catalyze that change.","drchrono,vidIQ,Accredible","Nick Gopalani","","Nick Gopalani","Nick Gopalani",Yes,"https://angel.co/drchrono,https://angel.co/vidiq,https://angel.co/accredible","https://angel.co/nick-gopalani","","https://angel.co/nick-gopalani","https://angel.co/nick-gopalani"
"AME Cloud Ventures","","Apportable,Transcriptic","","","Nick Adams,Jeff Chung","",Yes,"https://angel.co/apportable,https://angel.co/transcriptic","","","https://angel.co/nick-adams,https://angel.co/jeff-chung",""
"Amplify Partners","","Keen IO,Tracelytics,Continuuity,Fastly,Conjur,WibiData,DataDog programmører I/S","Sunil Dhaliwal","","Sunil Dhaliwal","Sunil Dhaliwal",Yes,"https://angel.co/keen-io,https://angel.co/tracelytics,https://angel.co/continuuity,https://angel.co/fastly,https://angel.co/conjur,https://angel.co/wibidata,https://angel.co/datadog-programm-rer-i-s","https://angel.co/dhaliwas","","https://angel.co/dhaliwas","https://angel.co/dhaliwas"
"Andreessen Horowitz","In general, founding CEOs perform better than professional CEOs over the long term, and a venture capital firm that enables founding CEOs to succeed would help build the best companies and yield superior investment returns.","Facebook,GitHub,Pinterest,Instagram,Human Diagnosis Project,Lyft,MessageMe,Balanced,AeroFS,Canvas,Zulily,Science Exchange,Summon (formerly InstantCab),Nuzzel,Rockmelt,Origami Labs (acquired by eFamily),Getable,Vidyard,MinoMonsters,Massive Health,Priceonomics,Listia,Foursquare,Asana,Mixpanel,","Marc Andreessen,Ben Horowitz","Suleman Ali,Bart Dessaint,Kristina Simmons","Chris Dixon,Jeff Jordan,Ronny Conway,Max Skibinsky,Zal Bilimoria,Fred Kang,Balaji Srinivasan,Sten Tamkivi,Stuart West,Rob Mazzoni,tristan walker,Louis Beryl,Bart Dessaint,Kristina Simmons,Scott Kupor,Frank Chen,Sam Gerstenzang,Connie Chan,Chaz Flexman,Peter Levine,Chris Lyons,Wei Lien Dang,Grace Ellis,Tawny Holguin,Fred Kang,Robert Kang,Juliet Pullis,Ray Jones","Marc Andreessen,Ben Horowitz",Yes,"https://angel.co/facebook,https://angel.co/github,https://angel.co/pinterest,https://angel.co/instagram,https://angel.co/human-diagnosis-project-1,https://angel.co/lyft,https://angel.co/messageme,https://angel.co/balanced,https://angel.co/aerofs,https://angel.co/canvas,https://angel.co/zulily,https://angel.co/science-exchange,https://angel.co/summon-formerly-instantcab,https://angel.co/nuzzel,https://angel.co/rockmelt,https://angel.co/origami-labs-acquired-by-efamily,https://angel.co/getable,https://angel.co/vidyard,https://angel.co/minomonsters,https://angel.co/massive-health,https://angel.co/priceonomics,https://angel.co/listia,https://angel.co/foursquare,https://angel.co/asana,https://angel.co/mixpanel,","https://angel.co/pmarca,https://angel.co/bhorowitz0","https://angel.co/suleman-ali,https://angel.co/bartdessaint,https://angel.co/ksimm","https://angel.co/cdixon,https://angel.co/jeffj2,https://angel.co/ronnyconway,https://angel.co/lordmax,https://angel.co/zalzally,https://angel.co/fred-kang,https://angel.co/balajis,https://angel.co/sten,https://angel.co/stuwest,https://angel.co/rob-mazzoni,https://angel.co/tristan-walker,https://angel.co/louisberyl,https://angel.co/bartdessaint,https://angel.co/ksimm,https://angel.co/skupor,https://angel.co/frank-chen-2,https://angel.co/gerstenzang,https://angel.co/connie-chan,https://angel.co/chaz-flexman,https://angel.co/peter-levine,https://angel.co/chrislyons,https://angel.co/weiliendang,https://angel.co/grace-ellis,https://angel.co/tawny,https://angel.co/fred-kang-1,https://angel.co/robert-kang,https://angel.co/juliet-pullis,https://angel.co/rayayton","https://angel.co/pmarca,https://angel.co/bhorowitz0"
"AOL Ventures","","About.Me,Schematic Labs; makers of SoundTracking,NewsCred,gdgt,Betaworks,Vungle,SocialFlow,Bitly,Solve Media,TastemakerX,DailyCred,Sailthru,Crittercism,OpenX,Spree Commerce,Crunched,Appssavvy,Scoutmob,Solve Media","","","Kiran Divvela,Zachary Sims,Doug Ludlow,Zak Schwarzman,Douglas Fulop,Doug Ludlow","",No,"https://angel.co/about-me,https://angel.co/schematic-labs-makers-of-soundtracking,https://angel.co/newscred,https://angel.co/gdgt,https://angel.co/betaworks,https://angel.co/vungle,https://angel.co/socialflow,https://angel.co/bitly,https://angel.co/solve-media,https://angel.co/tastemakerx,https://angel.co/dailycred,https://angel.co/sailthru,https://angel.co/crittercism,https://angel.co/openx,https://angel.co/spree-commerce,https://angel.co/crunched,https://angel.co/appssavvy,https://angel.co/scoutmob,https://angel.co/solve-media-deleted-deleted","","","https://angel.co/kdivvela,https://angel.co/zach-sims,https://angel.co/douglasludlow,https://angel.co/zak-schwarzman,https://angel.co/douglas-fulop,https://angel.co/dougludlow-1",""
"ARCH Venture Partners","","908 Devices","","","Michael Knapp","",No,"https://angel.co/908-devices","","","https://angel.co/michael-knapp",""
"Ariadne Capital","","Quill Content,Clickslide","","","Steve O&#x27;Donnell,Nicolas Perard,Adam Baldwin,Jonathan Denais,Valentin Fage,Juan Carlos Sanchez Madrigal","",Yes,"https://angel.co/quill-content,https://angel.co/clickslide","","","https://angel.co/stephenodonnell,https://angel.co/nicolas-perard,https://angel.co/adamnsgbaldwin,https://angel.co/jonathan-denais,https://angel.co/valentin-fage,https://angel.co/juan-carlos-sanchez-madrigal",""
"Arsenal Venture Partners","","Nanosolar,A123 Systems,Spectrum Bridge,Trust Digital,Blue Pillar,Cocona,Bioformix,InVisage,Petra Solar,Teranex","","","John Humphrey,Patti Glaza,Orrett Davis,David Odom,John Humphrey","",Yes,"https://angel.co/nanosolar,https://angel.co/a123-systems,https://angel.co/spectrum-bridge,https://angel.co/trust-digital,https://angel.co/blue-pillar,https://angel.co/cocona,https://angel.co/bioformix,https://angel.co/invisage,https://angel.co/petra-solar,https://angel.co/teranex","","","https://angel.co/jbhumphrey,https://angel.co/patti-glaza,https://angel.co/odavis,https://angel.co/david-odom,https://angel.co/john-humphrey-2",""
"Artiman Ventures","","","","Jayesh Parekh,Craig Walker","Akhil Saklecha,Tim Wilson,Eugene Lee,Lana Svoboda","",No,"","","https://angel.co/jayesh-parekh,https://angel.co/cwalker123","https://angel.co/akhil-saklecha,https://angel.co/wilsonoasis,https://angel.co/eugene-lee-1,https://angel.co/lana-svoboda",""
"ARTIS VENTURES","","Practice Fusion,YouTube,Palantir Technologies,InternMatch,Nimble ,Quid,Silver Spring Networks,Vudu,Aruba Networks,StemCentRx,Adbrite,Modern Meadow,Cast Iron Systems,Nimble Storage,Tilera,Omicia,Stem Centrx,SilverSpring Networks,Kior,Hayneedle,Versa Networks,Silver Peak Systems,Bracket Computing","Stuart Peterson,Michael Harden","","Stuart Peterson,Chris Haroun, Partner Artis Ventures","Stuart Peterson,Michael Harden",Yes,"https://angel.co/practice-fusion,https://angel.co/youtube,https://angel.co/palantir-technologies,https://angel.co/internmatch-2,https://angel.co/nimble,https://angel.co/quid,https://angel.co/silver-spring-networks,https://angel.co/vudu,https://angel.co/aruba-networks,https://angel.co/stemcentrx,https://angel.co/adbrite,https://angel.co/modern-meadow,https://angel.co/cast-iron-systems,https://angel.co/nimble-storage,https://angel.co/tilera,https://angel.co/omicia,https://angel.co/stem-centrx,https://angel.co/silverspring-networks,https://angel.co/kior,https://angel.co/hayneedle,https://angel.co/versa-networks,https://angel.co/silver-peak-systems,https://angel.co/bracket-computing","https://angel.co/stuart-peterson,https://angel.co/mike-harden","","https://angel.co/stuart-peterson,https://angel.co/chris-haroun","https://angel.co/stuart-peterson,https://angel.co/mike-harden"
"Arts Alliance Ventures","","Brainient,Daylife,KENSHOO,Atom Entertainment,WeArePopUp,Povo,Cinelan","","","Oliver Shapleski,Greg Carter,George Mills","",Yes,"https://angel.co/brainient,https://angel.co/daylife,https://angel.co/kenshoo,https://angel.co/atom-entertainment,https://angel.co/wearepopup,https://angel.co/povo,https://angel.co/cinelan","","","https://angel.co/oliver-shapleski,https://angel.co/greg-carter,https://angel.co/gfcmills",""
"Asset Management Ventures","","Womply,Skybox Imaging,Maverix Biomics,The Activity Exchange,lark technologies,Ooma,ICON Aircraft,Morpheus Medical,Reify Health","","","Skip Fleshman,Jialu Chen","",Yes,"https://angel.co/womply,https://angel.co/skybox-imaging,https://angel.co/maverix-biomics,https://angel.co/the-activity-exchange,https://angel.co/lark-technologies,https://angel.co/ooma,https://angel.co/icon-aircraft,https://angel.co/morpheus-medical,https://angel.co/reify-health","","","https://angel.co/skipfleshman,https://angel.co/jialu-chen",""
"ATA Ventures","","Zoosk,Jobvite,Sales Portal,Clustrix,Visage Mobile,YottaMark,Theranos,Milyoni,Neophotonics,Actelis Networks,uCirrus,Billeo,Rivulet Communications,Altierre,PixSense,Trilibis","","","T Peter Thomas","",No,"https://angel.co/zoosk,https://angel.co/jobvite,https://angel.co/sales-portal,https://angel.co/clustrix,https://angel.co/visage-mobile,https://angel.co/yottamark,https://angel.co/theranos,https://angel.co/milyoni,https://angel.co/neophotonics,https://angel.co/actelis-networks,https://angel.co/ucirrus,https://angel.co/billeo,https://angel.co/rivulet-communications,https://angel.co/altierre,https://angel.co/pixsense,https://angel.co/trilibis","","","https://angel.co/t-peter-thomas",""
"Atlantic Bridge","","","","","","",No,"","","","",""
"Atlas Venture","","AngelList,GrabCAD,LearnBoost,Creative Market,Ark,Colingo,DataXu,CustomMade,Sqwiggle,InsightSquared,EDITD,SimpleTuition,PillPack,Recorded Future,Ubersense Inc.,Kinvey,Spindle,Abine,EnglishCentral,Cinemagram,Mortar Data,Zoopla Property Group,clypd,Unbounce,Nextly,","","Hans Pusch","Jeff Fagnan,Fred Destin,Dustin Dolginow,Ryan Moore,Christopher Lynch,Atlas Venture Syndicates,Bruce Booth,Frank Castellucci","",Yes,"https://angel.co/angellist,https://angel.co/grabcad,https://angel.co/learnboost,https://angel.co/creative-market,https://angel.co/ark,https://angel.co/colingo,https://angel.co/dataxu,https://angel.co/custommade,https://angel.co/sqwiggle,https://angel.co/insightsquared,https://angel.co/editd,https://angel.co/simpletuition,https://angel.co/pillpack,https://angel.co/recorded-future,https://angel.co/ubersense-inc,https://angel.co/kinvey,https://angel.co/spindle,https://angel.co/abine,https://angel.co/englishcentral,https://angel.co/cinemagram,https://angel.co/mortar-data,https://angel.co/zoopla-property-group,https://angel.co/clypd,https://angel.co/unbounce,https://angel.co/nextly,","","https://angel.co/hans-pusch","https://angel.co/jfagnan,https://angel.co/fdestin,https://angel.co/dd,https://angel.co/rrmoore73,https://angel.co/christopher-lynch,https://angel.co/atlas-venture-syndicates,https://angel.co/lifescivc,https://angel.co/frank-castellucci",""
"Atomico","","Gengo,Ostrovok,Hailo,The Climate Corporation,Fon,Xobni,Seesmic,TrialPay,Quid,Wrapp,Jolicloud,6Wunderkinder,Supercell,Memolane,DECA,Restorando,Fashiolista,WooMe,Grows Up,Zattikka","","","Wouter Gort,Mattias Ljungman,Chris Dark,Carter Adamson,Gernot Zacke,Pogos Saiadian,Andrew Lockhart,Stephanie Robesky,Carlos Pires,Matthieu Sagnier,Naz Ozertugrul,carter,Hugo Fozzati","",No,"https://angel.co/gengo-1,https://angel.co/ostrovok,https://angel.co/hailo,https://angel.co/the-climate-corporation,https://angel.co/fon,https://angel.co/xobni,https://angel.co/seesmic,https://angel.co/trialpay,https://angel.co/quid,https://angel.co/wrapp,https://angel.co/jolicloud,https://angel.co/6wunderkinder,https://angel.co/supercell,https://angel.co/memolane,https://angel.co/deca,https://angel.co/restorando,https://angel.co/fashiolista,https://angel.co/woome,https://angel.co/grows-up,https://angel.co/zattikka","","","https://angel.co/woutergort,https://angel.co/ljungman,https://angel.co/chris-dark,https://angel.co/carter-adamson,https://angel.co/gernot-zacke,https://angel.co/pogos,https://angel.co/andrewlockhart,https://angel.co/nerdgirl-1,https://angel.co/carlos-pires,https://angel.co/matthieu-sagnier,https://angel.co/naz-ozertugrul,https://angel.co/carter-1,https://angel.co/hugo-fozzati",""
"August Capital","","Zulily,WePay,Aardvark,Blippy,StumbleUpon,Gigwalk,PayNearMe,Aisle50,Samba TV,RelayRides,Technorati,Luminate,Jaxtr,Fastly,Reputation.com,Memolane,Six Apart,Adchemy,Bill.com,Inrix,Virsto Software,Splunk,Netpulse,Gravity,Threadsy,","","","Oren Jacob,David Hornik,Reese Jones","",No,"https://angel.co/zulily,https://angel.co/wepay,https://angel.co/aardvark,https://angel.co/blippy,https://angel.co/stumbleupon,https://angel.co/gigwalk,https://angel.co/paynearme,https://angel.co/aisle50,https://angel.co/samba-tv,https://angel.co/relayrides,https://angel.co/technorati,https://angel.co/luminate,https://angel.co/jaxtr,https://angel.co/fastly,https://angel.co/reputation-com,https://angel.co/memolane,https://angel.co/six-apart,https://angel.co/adchemy,https://angel.co/bill-com,https://angel.co/inrix,https://angel.co/virsto-software,https://angel.co/splunk,https://angel.co/netpulse,https://angel.co/gravity,https://angel.co/threadsy,","","","https://angel.co/oren-jacob,https://angel.co/davidhornik,https://angel.co/reesejones1",""
"Austin Ventures","","Bazaarvoice,Mass Relevance,Bloomfire,HomeAway,WhaleShark Media,Spiceworks,Solarwinds,Convio,Mogl,The Active Network,Azul Systems,Navini Networks,Boundless Network,Copan Systems,NileGuide,OpenIncubate,Sailpoint Technologies,Limos.com,Spredfast,CREDANT Technologies,MojoPages,Surgient,Lombardi Software,Sipera Systems,Pluck,","","Aloke Guha","Andrew Busey,Mike Dodd,Adam Dell,Laurence Patrick Noonan,James Clardy,Dave Panos,Venu Shamapant,Dai Truong,John Komkov","",No,"https://angel.co/bazaarvoice,https://angel.co/mass-relevance,https://angel.co/bloomfire,https://angel.co/homeaway,https://angel.co/whaleshark-media,https://angel.co/spiceworks,https://angel.co/solarwinds,https://angel.co/convio,https://angel.co/mogl,https://angel.co/the-active-network,https://angel.co/azul-systems,https://angel.co/navini-networks,https://angel.co/boundless-network,https://angel.co/copan-systems,https://angel.co/nileguide,https://angel.co/openincubate,https://angel.co/sailpoint-technologies,https://angel.co/limos-com,https://angel.co/spredfast,https://angel.co/credant-technologies,https://angel.co/mojopages,https://angel.co/surgient,https://angel.co/lombardi-software,https://angel.co/sipera-systems,https://angel.co/pluck,","","https://angel.co/aloke-guha","https://angel.co/andrew-busey,https://angel.co/mike-dodd,https://angel.co/adam-dell,https://angel.co/lpnoonan,https://angel.co/james-clardy,https://angel.co/dave-panos,https://angel.co/venu-shamapant,https://angel.co/dai,https://angel.co/john-komkov",""
"Avalon Ventures","","Backupify,Chartio,Cheezburger,Zynga,RethinkDB,Shelby.TV,Memrise,Techstars,Kinvey,Cloudant,Indix,Tapad,Simulmedia,Conjur,Mogl,Vocera Communications,Cloudkick,Pictela,Kaltura,Nanigans,Pingup,TwinStrata,Intercasting,Syndax Pharmaceuticals,E-Band Communications","","Rich Levandov","Rich Levandov ,Brady Bohrmann,Steve Tomlin","",No,"https://angel.co/backupify,https://angel.co/chartio,https://angel.co/cheezburger,https://angel.co/zynga,https://angel.co/rethinkdb,https://angel.co/shelby-tv,https://angel.co/memrise,https://angel.co/techstars,https://angel.co/kinvey,https://angel.co/cloudant,https://angel.co/indix,https://angel.co/tapad,https://angel.co/simulmedia,https://angel.co/conjur,https://angel.co/mogl,https://angel.co/vocera-communications,https://angel.co/cloudkick,https://angel.co/pictela,https://angel.co/kaltura,https://angel.co/nanigans,https://angel.co/pingup,https://angel.co/twinstrata,https://angel.co/intercasting,https://angel.co/syndax-pharmaceuticals,https://angel.co/e-band-communications","","https://angel.co/richlevandov","https://angel.co/richlevandov,https://angel.co/brady-bohrmann,https://angel.co/steve-tomlin",""
"Azure Capital Partners","","TripIt,Get Satisfaction,Telly,Fonality,Coraid,Medsphere Systems,Zend Technologies,Cooking.com,SilkRoad Technology,Switchfly,Phanfare,BroadLight,Calix,Jacent Technologies,Bill Me Later,Open Road Integrated Media,Oqo,World Wide Packets,SlideRocket,Knowledge Adventure,NeoNova Network Services","","Jim Ritchie,Cindy Engstrom","Bob Pasker,Ryan Gembala,Seann Birkelund","",No,"https://angel.co/tripit,https://angel.co/get-satisfaction,https://angel.co/telly,https://angel.co/fonality,https://angel.co/coraid,https://angel.co/medsphere-systems,https://angel.co/zend-technologies,https://angel.co/cooking-com,https://angel.co/silkroad-technology,https://angel.co/switchfly,https://angel.co/phanfare,https://angel.co/broadlight,https://angel.co/calix,https://angel.co/jacent-technologies,https://angel.co/bill-me-later,https://angel.co/open-road-integrated-media,https://angel.co/oqo,https://angel.co/world-wide-packets,https://angel.co/sliderocket,https://angel.co/knowledge-adventure,https://angel.co/neonova-network-services","","https://angel.co/jim-ritchie,https://angel.co/cindy-engstrom","https://angel.co/rbpasker,https://angel.co/ryan-gembala,https://angel.co/seann-birkelund",""
"Bain Capital Ventures","","LinkedIn,TellApart,Skyhook,TokBox,Rent the Runway,Stackdriver,EverTrue,SurveyMonkey,Tracelytics,Symphony,AppAssure Software,Oyster.com,Blip,Bloomreach,Stamped,DoubleClick,Shopping.com,Solarwinds,AdReady,TxVia,Inrix,Linkable Networks,Color Labs,SynapDx,Appneta,","","","Ben Nye,Salil Deshpande,Ben Holzman,Sahil Gupta,Izzy Azeri,Ajay Agarwal,Indranil Guha,Michelle Lam,Weston Gaddy,Brett Garrett,Jordan Bettman,John Connolly","",Yes,"https://angel.co/linkedin,https://angel.co/tellapart,https://angel.co/skyhook,https://angel.co/tokbox,https://angel.co/rent-the-runway,https://angel.co/stackdriver,https://angel.co/evertrue,https://angel.co/surveymonkey,https://angel.co/tracelytics,https://angel.co/symphony-1,https://angel.co/appassure-software,https://angel.co/oyster-com,https://angel.co/blip-2,https://angel.co/bloomreach,https://angel.co/stamped,https://angel.co/doubleclick,https://angel.co/shopping-com,https://angel.co/solarwinds,https://angel.co/adready,https://angel.co/txvia,https://angel.co/inrix,https://angel.co/linkable-networks,https://angel.co/color-labs,https://angel.co/synapdx,https://angel.co/appneta,","","","https://angel.co/ben-nye,https://angel.co/salil,https://angel.co/ben-holzman,https://angel.co/sahil-gupta,https://angel.co/izzy-azeri,https://angel.co/ajay_bcv,https://angel.co/indranil-guha,https://angel.co/michelle-lam,https://angel.co/weston-gaddy,https://angel.co/brett-garrett,https://angel.co/jordan-bettman,https://angel.co/john-connolly",""
