Firm,Investment Stage,Minimum Investment,Maximum Investment,Location,Country,Fund Size,Link
"Apax Partners, Inc. - London - UK","Later Stage/Expansion/Early Stage/Startup/Seed","","60000000.0","London","United Kingdom","109000000.0","http://venture-capital-firms.findthebest.com/l/136/Apax-Partners-Inc-London-UK"
"Lovett Miller &amp; Co. Incorporated","Expansion/Later Stage","","","Jacksonville, Florida","United States","","http://venture-capital-firms.findthebest.com/l/1325/Lovett-Miller-And-Co-Incorporated"
"Canaan Partners- California","Early Stage/Expansion/Later Stage/Startup/Seed","","","Menlo Park, California","United States","3400000000.0","http://venture-capital-firms.findthebest.com/l/53/Canaan-Partners-California"
"Apax Partners, Inc. - Milan - Italy","Later Stage/Expansion/Early Stage/Startup/Seed","","60000000.0","Milan","Italy","109000000.0","http://venture-capital-firms.findthebest.com/l/140/Apax-Partners-Inc-Milan-Italy"
"TL Ventures-Wayne-Pennsylvania","Early Stage","","15000000000.0","Wayne, Pennsylvania","United States","1500000000.0","http://venture-capital-firms.findthebest.com/l/75/TL-Ventures-Wayne-Pennsylvania"
"Vivo Ventures-Palo Alto-Californi","Early Stage/Expansion/Later Stage/Startup/Seed","","30000000000.0","Palo Alto, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/952/Vivo-Ventures-Palo-Alto-Californi"
"Carlyle Group, The - Shanghai- Korea","Expansion/Early Stage","","","Shanghai","China","1.7e+11","http://venture-capital-firms.findthebest.com/l/906/Carlyle-Group-The-Shanghai-Korea"
"Lovell Minnick Partners-Radnor-Pennsylvania","Later Stage","20000000.0","100000000.0","Radnor, Pennsylvania","United States","850000000.0","http://venture-capital-firms.findthebest.com/l/648/Lovell-Minnick-Partners-Radnor-Pennsylvania"
"Greylock Partners- Boston","Early Stage/Startup/Seed","","10000000000.0","Cambridge, Massachusetts","United States","2000000000.0","http://venture-capital-firms.findthebest.com/l/279/Greylock-Partners-Boston"
"Rho Ventures - New York - New York","Early Stage/Later Stage/Startup/Seed","","50000000.0","New York, New York","United States","510000000.0","http://venture-capital-firms.findthebest.com/l/591/Rho-Ventures-New-York-New-York"
"NYC Seed","Startup/Seed","","","Brooklyn, New York","United States","2000000.0","http://venture-capital-firms.findthebest.com/l/624/NYC-Seed"
"Vestor Associates LLC-Santa Fe-New Mexico","Early Stage","","","Santa Fe, New Mexico","United States","","http://venture-capital-firms.findthebest.com/l/750/Vestor-Associates-LLC-Santa-Fe-New-Mexico"
"Onondaga Venture Capital Fund","Early Stage","","","Syracuse, New York","United States","","http://venture-capital-firms.findthebest.com/l/1353/Onondaga-Venture-Capital-Fund"
"Fidelity Growth Partners","Early Stage/Expansion","1000000.0","13000000.0","London","United Kingdom","128000000.0","http://venture-capital-firms.findthebest.com/l/930/Fidelity-Growth-Partners"
"MPM Capital-Kansas City-Kansas","Early Stage/Later Stage","5000000000.0","50000000000.0","Kansas City, Kansas","United States","2000000000.0","http://venture-capital-firms.findthebest.com/l/940/MPM-Capital-Kansas-City-Kansas"
"Delphi Ventures-Menlo Park-California","Early Stage","","12000000000.0","Menlo Park, California","United States","1100000000.0","http://venture-capital-firms.findthebest.com/l/179/Delphi-Ventures-Menlo-Park-California"
"SmartForest Ventures-Portland-Oregon","Early Stage/Startup/Seed","","","Portland, Oregon","United States","","http://venture-capital-firms.findthebest.com/l/680/SmartForest-Ventures-Portland-Oregon"
"IDEA Fund Partners","Early Stage/Startup/Seed","","","Durham, North Carolina","United States","","http://venture-capital-firms.findthebest.com/l/692/IDEA-Fund-Partners"
"Plymouth Venture Partners","Expansion","1000000.0","4000000.0","Ann Arbor, Michigan","United States","40000000.0","http://venture-capital-firms.findthebest.com/l/1361/Plymouth-Venture-Partners"
"Covera Ventures - Austin","Early Stage","1000000.0","5000000.0","Austin, Texas","United States","100000000.0","http://venture-capital-firms.findthebest.com/l/1053/Covera-Ventures-Austin"
"eCoast Angels","Early Stage","","","Portsmouth, New Hampshire","United States","","http://venture-capital-firms.findthebest.com/l/1257/eCoast-Angels"
"Castile Ventures","Early Stage","","","Wellesley, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/304/Castile-Ventures"
"Carlyle Group, The - Charlotte - North - Carolina","Expansion/Early Stage","","","Charlotte, North Carolina","United States","1.7e+11","http://venture-capital-firms.findthebest.com/l/456/Carlyle-Group-The-Charlotte-North-Carolina"
"Ben Franklin Technology Partners-Pittsburgh-Pennsylvania","Early Stage/Expansion","","","Pittsburgh, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/366/Ben-Franklin-Technology-Partners-Pittsburgh-Pennsylvania"
"Thayer Hidden Creek - Minneapolis - Minnesota","Expansion","","","Minneapolis, Minnesota","United States","","http://venture-capital-firms.findthebest.com/l/950/Thayer-Hidden-Creek-Minneapolis-Minnesota"
"Ojas Venture Partners","Early Stage/Startup/Seed","","3000000.0","Bangalore","","35000000.0","http://venture-capital-firms.findthebest.com/l/876/Ojas-Venture-Partners"
"D. E. Shaw Group, The-Dubai-United Arab Emirates","Early Stage","","20000000000.0","Dubai","United Arab Emirates","28000000000.0","http://venture-capital-firms.findthebest.com/l/445/D-E-Shaw-Group-The-Dubai-United-Arab-Emirates"
"NGEN-Santa Barbara-California","Early Stage","3000000.0","15000000.0","Santa Barbara, California","United States","500000000.0","http://venture-capital-firms.findthebest.com/l/217/NGEN-Santa-Barbara-California"
"Band of Angels","Early Stage/Startup/Seed","","3000000.0","Menlo Park, California","United States","50000000.0","http://venture-capital-firms.findthebest.com/l/1027/Band-of-Angels"
"Ecosystem Ventures","Startup/Seed/Early Stage","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/1258/Ecosystem-Ventures"
"Vivo Ventures-Chengdu-China","Early Stage/Expansion/Later Stage/Startup/Seed","","30000000000.0","Chengdu, Sichuan","China","1000000000.0","http://venture-capital-firms.findthebest.com/l/954/Vivo-Ventures-Chengdu-China"
"Accolade Partners","Early Stage/Expansion","","","Washington, District of Columbia","United States","","http://venture-capital-firms.findthebest.com/l/1188/Accolade-Partners"
"PrairieGold Venture Partners","Early Stage","","","Sioux Falls, South Dakota","United States","","http://venture-capital-firms.findthebest.com/l/1363/PrairieGold-Venture-Partners"
"Mosaix Ventures","Early Stage/Expansion","","","Chicago, Illinois","United States","","http://venture-capital-firms.findthebest.com/l/1117/Mosaix-Ventures"
"CommonAngels","Early Stage","","1500000.0","Waltham, Massachusetts","United States","13000000.0","http://venture-capital-firms.findthebest.com/l/562/CommonAngels"
"Warburg Pincus-Luxembourg-Luxembourg","Later Stage/Early Stage/Expansion/Startup/Seed","","2000000000.0","Luxembourg","Luxembourg","30000000000.0","http://venture-capital-firms.findthebest.com/l/372/Warburg-Pincus-Luxembourg-Luxembourg"
"Accel-KKR LLC - Atlanta","Expansion","10000000000.0","1e+11","Atlanta, Georgia","United States","2000000000.0","http://venture-capital-firms.findthebest.com/l/966/Accel-KKR-LLC-Atlanta"
"Ascent Venture Partners","Early Stage","2000000.0","5000000.0","Boston, Massachusetts","United States","82000000.0","http://venture-capital-firms.findthebest.com/l/827/Ascent-Venture-Partners"
"C3 Capital LLC - Dallas - Texas","Expansion/Later Stage","2000000.0","10000000.0","Dallas, Texas","United States","430000000.0","http://venture-capital-firms.findthebest.com/l/327/C3-Capital-LLC-Dallas-Texas"
"Seneca Partners, Inc","Early Stage/Expansion/Later Stage","","","Birmingham, Michigan","United States","","http://venture-capital-firms.findthebest.com/l/667/Seneca-Partners-Inc"
"Correlation Ventures","Startup/Seed/Early Stage/Expansion/Later Stage","","4000000.0","San Diego, California","United States","165000000.0","http://venture-capital-firms.findthebest.com/l/1234/Correlation-Ventures"
"Gefinor Ventures-New York","Later Stage/Expansion/Early Stage","1000000.0","4000000.0","New York, New York","United States","60000000.0","http://venture-capital-firms.findthebest.com/l/500/Gefinor-Ventures-New-York"
"True Ventures - Great Falls - Virginia","Early Stage","1000000.0","2000000.0","Great Falls, Virginia","United States","600000000.0","http://venture-capital-firms.findthebest.com/l/612/True-Ventures-Great-Falls-Virginia"
"SJF Ventures-San Francisco-California","Expansion","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/678/SJF-Ventures-San-Francisco-California"
"Athenian Venture Partners","Later Stage/Expansion/Early Stage","","","Athens, Ohio","United States","","http://venture-capital-firms.findthebest.com/l/1203/Athenian-Venture-Partners"
"CommonAngels - Cambridge - Massachusetts","Early Stage","","1500000.0","Cambridge, Massachusetts","United States","13000000.0","http://venture-capital-firms.findthebest.com/l/919/CommonAngels-Cambridge-Massachusetts"
"Greenhouse Capital Partners","Startup/Seed/Early Stage","","","Sausalito, California","United States","","http://venture-capital-firms.findthebest.com/l/1283/Greenhouse-Capital-Partners"
"Investor Growth Capital, Inc-Central-Hong Kong","Expansion","","","Central Hong Kong","Hong Kong","","http://venture-capital-firms.findthebest.com/l/700/Investor-Growth-Capital-Inc-Central-Hong-Kong"
"Life Science Ventures - Switzerland","Early Stage","","","Zug","Switzerland","","http://venture-capital-firms.findthebest.com/l/1127/Life-Science-Ventures-Switzerland"
"Matrix Partners-New York-New York","Early Stage/Startup/Seed","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/939/Matrix-Partners-New-York-New-York"
"Prism Ventureworks","Startup/Seed","","","Needham, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/840/Prism-Ventureworks"
"Fuse Capital-Santa Monica-California","Early Stage","","10000000000.0","Santa Monica, California","United States","1500000000.0","http://venture-capital-firms.findthebest.com/l/301/Fuse-Capital-Santa-Monica-California"
"Edison Ventures - New England","Expansion","5000000.0","10000000.0","Needham, Massachusetts","United States","249000000.0","http://venture-capital-firms.findthebest.com/l/1062/Edison-Ventures-New-England"
"Edison Venture Fund-Needham-Massachusettes","Expansion","5000000.0","10000000.0","Needham, Massachusetts","United States","249000000.0","http://venture-capital-firms.findthebest.com/l/427/Edison-Venture-Fund-Needham-Massachusettes"
"Blumberg Capital","Early Stage/Startup/Seed","","3000000.0","San Francisco, California","United States","190000000.0","http://venture-capital-firms.findthebest.com/l/820/Blumberg-Capital"
"Carlyle Group, The - Istanbul - Turkey","Expansion/Early Stage","","","Istanbul","Turkey","1.7e+11","http://venture-capital-firms.findthebest.com/l/459/Carlyle-Group-The-Istanbul-Turkey"
"Adams Street Partners-Beijing","Early Stage","5000000000.0","20000000000.0","Chaoyang District, Beijing","China","22000000000.0","http://venture-capital-firms.findthebest.com/l/894/Adams-Street-Partners-Beijing"
"Allegis Capital - San Francisco - California","Early Stage/Startup/Seed","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/132/Allegis-Capital-San-Francisco-California"
"Delaware Innovation Fund","Startup/Seed/Early Stage","","","Wilmington, Delaware","United States","10000000.0","http://venture-capital-firms.findthebest.com/l/1243/Delaware-Innovation-Fund"
"Austin Ventures","Early Stage/Startup/Seed","","20000000000.0","Austin, Texas","United States","3900000000.0","http://venture-capital-firms.findthebest.com/l/860/Austin-Ventures"
"Velocity Venture Capital","Startup/Seed/Early Stage","","","El Dorado Hills, California","United States","","http://venture-capital-firms.findthebest.com/l/1408/Velocity-Venture-Capital"
"Omidyar Network-Mumbai-India","Early Stage/Expansion/Startup/Seed","","","Mumbai, Maharashtra","India","","http://venture-capital-firms.findthebest.com/l/946/Omidyar-Network-Mumbai-India"
"H.I.G. Capital Ventures LLC-Boston-Massachusetts","Early Stage","15000000000.0","1e+11","Boston, Massachusetts","United States","11500000000.0","http://venture-capital-firms.findthebest.com/l/535/H-I-G-Capital-Ventures-LLC-Boston-Massachusetts"
"Harbert Venture Partners","Early Stage/Expansion","","4000000.0","Birmingham, Alabama","United States","200000000.0","http://venture-capital-firms.findthebest.com/l/1287/Harbert-Venture-Partners"
"NewSpring Capita-Short Hills-New Jersey","","5000000.0","50000000.0","Short Hills, New Jersey","United States","900000000.0","http://venture-capital-firms.findthebest.com/l/655/NewSpring-Capita-Short-Hills-New-Jersey"
"Google Ventures- Cambridge","Early Stage/Expansion/Later Stage/Startup/Seed","","","Cambridge, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/815/Google-Ventures-Cambridge"
"New Enterprise Associates-Menlo Park-California","Later Stage/Expansion/Early Stage/Startup/Seed","","1e+11","Menlo Park, California","United States","13000000000.0","http://venture-capital-firms.findthebest.com/l/208/New-Enterprise-Associates-Menlo-Park-California"
"Palomar Ventures - Santa Monica - California","Early Stage/Startup/Seed","2000000.0","10000000.0","Santa Monica, California","United States","500000000.0","http://venture-capital-firms.findthebest.com/l/828/Palomar-Ventures-Santa-Monica-California"
"Rho Ventures - Montreal - Canada","Early Stage/Later Stage/Startup/Seed","","50000000.0","Montreal, Quebec","Canada","510000000.0","http://venture-capital-firms.findthebest.com/l/593/Rho-Ventures-Montreal-Canada"
"Startup Capital Ventures","Startup/Seed/Early Stage","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/1421/Startup-Capital-Ventures"
"Forerunner Ventures","Startup/Seed/Early Stage","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/1274/Forerunner-Ventures"
"Walden International-Petach-Tikva-Israel","Early Stage/Expansion/Startup/Seed","","","Petach-Tikva","Israel","","http://venture-capital-firms.findthebest.com/l/955/Walden-International-Petach-Tikva-Israel"
"Apax Partners, Inc. - St Peter Port - Guernsey","Later Stage/Expansion/Early Stage/Startup/Seed","","60000000.0","St. Peter Port","Guernsey","109000000.0","http://venture-capital-firms.findthebest.com/l/137/Apax-Partners-Inc-St-Peter-Port-Guernsey"
"Rembrandt Venture Partners","Early Stage","","10000000.0","Menlo Park, California","United States","194000000.0","http://venture-capital-firms.findthebest.com/l/842/Rembrandt-Venture-Partners"
"Carlyle Group, The - São Paulo - Brazil","Expansion/Early Stage","","","São Paulo","Brazil","1.7e+11","http://venture-capital-firms.findthebest.com/l/468/Carlyle-Group-The-S-o-Paulo-Brazil"
"Sequoia Capital- Mumbai","Early Stage/Expansion/Startup/Seed","","10000000000.0","Mumbai, Maharashtra","India","2400000000.0","http://venture-capital-firms.findthebest.com/l/805/Sequoia-Capital-Mumbai"
"Altos Health","","","","Los Altos, California","United States","","http://venture-capital-firms.findthebest.com/l/1190/Altos-Health"
"Tenaya Capital - Waltham - Massachusetts","Later Stage/Expansion/Early Stage","5000000000.0","10000000000.0","Waltham, Massachusetts","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/864/Tenaya-Capital-Waltham-Massachusetts"
"Covera Ventures - Dallas","Early Stage","1000000.0","5000000.0","Dallas, Texas","United States","100000000.0","http://venture-capital-firms.findthebest.com/l/1054/Covera-Ventures-Dallas"
"Labrador Ventures-Palo Alto-California","Startup/Seed","1000000.0","6000000.0","Palo Alto, California","United States","200000000.0","http://venture-capital-firms.findthebest.com/l/640/Labrador-Ventures-Palo-Alto-California"
"Caltius Equity Partners","Later Stage","","","Los Angeles, California","United States","","http://venture-capital-firms.findthebest.com/l/329/Caltius-Equity-Partners"
"Saturn Management","Startup/Seed/Early Stage","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/1374/Saturn-Management"
"Vision Capital-Geneva-Switzerland","Expansion","","","Switzerland, Geneva","Switzerland","","http://venture-capital-firms.findthebest.com/l/332/Vision-Capital-Geneva-Switzerland"
"OVP Venture Partners-Kirkland-Washington","Early Stage/Startup/Seed","1000000.0","5000000.0","Seattle, Washington","United States","750000000.0","http://venture-capital-firms.findthebest.com/l/768/OVP-Venture-Partners-Kirkland-Washington"
"NeoCarta Ventures Incorporated - California","Later Stage/Expansion/Early Stage/Startup/Seed","","","San Mateo, California","United States","","http://venture-capital-firms.findthebest.com/l/1111/NeoCarta-Ventures-Incorporated-California"
"Accuitive Medical Ventures-Fernandina Beach-Florida","Early Stage","","15000000.0","Fernandina Beach, Florida","United States","230000000.0","http://venture-capital-firms.findthebest.com/l/344/Accuitive-Medical-Ventures-Fernandina-Beach-Florida"
"Founders Capital Partners","Early Stage","","","Santa Barbara, California","United States","","http://venture-capital-firms.findthebest.com/l/1277/Founders-Capital-Partners"
"U.S. Venture Partners","Early Stage","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/64/U-S-Venture-Partners"
"Sequoia Capital-Shanghai","Early Stage/Expansion/Startup/Seed","","10000000000.0","Shanghai","","2400000000.0","http://venture-capital-firms.findthebest.com/l/810/Sequoia-Capital-Shanghai"
"Digital Entertainment Ventures","Startup/Seed/Early Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1247/Digital-Entertainment-Ventures"
"New Enterprise Associates-Beijing-China","Later Stage/Expansion/Early Stage/Startup/Seed","","1e+11","Beijing","","13000000000.0","http://venture-capital-firms.findthebest.com/l/211/New-Enterprise-Associates-Beijing-China"
"Cross Creek Capital","Later Stage","","","Salt Lake City, Utah","United States","","http://venture-capital-firms.findthebest.com/l/1237/Cross-Creek-Capital"
"KRG Capital Partners LLC","","","","Denver, Colorado","United States","","http://venture-capital-firms.findthebest.com/l/1104/KRG-Capital-Partners-LLC"
"Halyard Partners","Expansion","15000000.0","40000000.0","New York, New York","United States","600000000.0","http://venture-capital-firms.findthebest.com/l/538/Halyard-Partners"
"Columbia Capital - Waltham - Massachusetts","Later Stage/Expansion/Early Stage/Startup/Seed","1000000000.0","50000000000.0","Waltham, Massachusetts","United States","2500000000.0","http://venture-capital-firms.findthebest.com/l/824/Columbia-Capital-Waltham-Massachusetts"
"Huron River Venture Partners","Startup/Seed/Early Stage","","","Ann Arbor, Michigan","United States","","http://venture-capital-firms.findthebest.com/l/1297/Huron-River-Venture-Partners"
"Accel Partners-New York","Early Stage/Expansion/Growth/Startup/Seed","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1151/Accel-Partners-New-York"
"Amicus Capital","Early Stage/Startup/Seed","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/1193/Amicus-Capital"
"KPG Ventures","Startup/Seed","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/1313/KPG-Ventures"
"IDG Ventures - Mumbai  - India","Early Stage","1000000000.0","5000000000.0","Mumbai, Maharashtra","India","3700000000.0","http://venture-capital-firms.findthebest.com/l/167/IDG-Ventures-Mumbai-India"
"Carlyle Group, The - Johannesburg - South Africa","Expansion/Early Stage","","","Johannesburg","South Africa","1.7e+11","http://venture-capital-firms.findthebest.com/l/911/Carlyle-Group-The-Johannesburg-South-Africa"
"North Bridge Venture Partners-San Mateo-California","Later Stage/Early Stage/Startup/Seed","","75000000000.0","Palo Alto, California","United States","3200000000.0","http://venture-capital-firms.findthebest.com/l/834/North-Bridge-Venture-Partners-San-Mateo-California"
"Burrill &amp; Company","Early Stage","5000000000.0","15000000000.0","San Francisco, California","United States","1500000000.0","http://venture-capital-firms.findthebest.com/l/177/Burrill-And-Company"
"ARCH Venture Partners-Austin-Texas","Early Stage/Startup/Seed","","","Austin, Texas","United States","1500000000.0","http://venture-capital-firms.findthebest.com/l/407/ARCH-Venture-Partners-Austin-Texas"
"BANQER CAPITAL  AG","Startup/Seed/Growth","","","","Switzerland","","http://venture-capital-firms.findthebest.com/l/1426/BANQER-CAPITAL-AG"
"Synergy Life Science Partners","Early Stage","","10000000.0","Portola Valley, California","United States","143000000.0","http://venture-capital-firms.findthebest.com/l/949/Synergy-Life-Science-Partners"
"North Bridge Venture Partners - Waltham - Massachusetts","Later Stage/Early Stage/Startup/Seed","","75000000000.0","Waltham, Massachusetts","United States","3200000000.0","http://venture-capital-firms.findthebest.com/l/835/North-Bridge-Venture-Partners-Waltham-Massachusetts"
"FLAG Capital Management LLC - Singapore","Startup/Seed","","","Singapore","Singapore","","http://venture-capital-firms.findthebest.com/l/1071/FLAG-Capital-Management-LLC-Singapore"
"Energy Technology Ventures","Expansion","60000000.0","70000000.0","Santa Clara, California","United States","300000000.0","http://venture-capital-firms.findthebest.com/l/1262/Energy-Technology-Ventures"
"Comvest Investment Partners - New York","Expansion","10000000000.0","70000000000.0","New York, New York","United States","1300000000.0","http://venture-capital-firms.findthebest.com/l/1047/Comvest-Investment-Partners-New-York"
"FirstGen Capital","Early Stage/Startup/Seed","","","St Leonards, New South Wales","Australia","","http://venture-capital-firms.findthebest.com/l/888/FirstGen-Capital"
"Excelerate Health Ventures","Startup/Seed/Early Stage","","","","United States","15000000.0","http://venture-capital-firms.findthebest.com/l/1437/Excelerate-Health-Ventures"
"SK Ventures","","","","","United States","","http://venture-capital-firms.findthebest.com/l/1378/SK-Ventures"
"Elm Street Ventures","Early Stage/Startup/Seed","","","New Haven, Connecticut","United States","","http://venture-capital-firms.findthebest.com/l/1064/Elm-Street-Ventures"
"CHV Capital, Inc.","Early Stage/Startup/Seed","","3000000.0","Indianapolis, Indiana","United States","1700000.0","http://venture-capital-firms.findthebest.com/l/1039/CHV-Capital-Inc"
"Seventy Six Capital","Startup/Seed/Early Stage","","","Philadelphia, Pennsylvania","","25000000.0","http://venture-capital-firms.findthebest.com/l/1434/Seventy-Six-Capital"
"Fortify Ventures","Startup/Seed/Early Stage","","","Washington, District of Columbia","United States","","http://venture-capital-firms.findthebest.com/l/1276/Fortify-Ventures"
"Google Ventures-Mountain View","Early Stage/Expansion/Later Stage/Startup/Seed","","","Mountain View, California","United States","","http://venture-capital-firms.findthebest.com/l/814/Google-Ventures-Mountain-View"
"New Leaf Venture Partners LLC-Menlo Park-California","Early Stage/Expansion/Later Stage/Startup/Seed","","30000000.0","Menlo Park, California","United States","450000000.0","http://venture-capital-firms.findthebest.com/l/651/New-Leaf-Venture-Partners-LLC-Menlo-Park-California"
"Summit Partners - London - UK","Expansion","5000000000.0","5e+11","London","United Kingdom","15000000000.0","http://venture-capital-firms.findthebest.com/l/324/Summit-Partners-London-UK"
"Vimac Ventures","Startup/Seed/Early Stage","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/1412/Vimac-Ventures"
"Panorama Capital","Later Stage/Expansion/Early Stage/Startup/Seed","","","Campbell, California","United States","","http://venture-capital-firms.findthebest.com/l/826/Panorama-Capital"
"KTB Ventures-Shanghai-China","Early Stage","","","Shanghai","China","","http://venture-capital-firms.findthebest.com/l/784/KTB-Ventures-Shanghai-China"
"General Atlantic-London","","75000000000.0","4e+11","London, England","United Kingdom","17000000000.0","http://venture-capital-firms.findthebest.com/l/503/General-Atlantic-London"
"Anthem Venture Partners","Early Stage","","","Santa Monica, California","United States","","http://venture-capital-firms.findthebest.com/l/1192/Anthem-Venture-Partners"
"Borealis Ventures - Hanover","Early Stage/Startup/Seed","","","Hanover, New Hampshire","United States","","http://venture-capital-firms.findthebest.com/l/1032/Borealis-Ventures-Hanover"
"Trailblazer Capital","Early Stage/Expansion","","","Dallas, Texas","United States","","http://venture-capital-firms.findthebest.com/l/1399/Trailblazer-Capital"
"Split Rock Partners - Menlo Park - California","Startup/Seed/Early Stage/Expansion/Later Stage","","15000000000.0","Menlo Park, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/316/Split-Rock-Partners-Menlo-Park-California"
"Vista Ventures-Fort Collins-Colorado","Early Stage","","","Fort Collins, Colorado","United States","","http://venture-capital-firms.findthebest.com/l/742/Vista-Ventures-Fort-Collins-Colorado"
"Petra Capital Partners, LLC","Later Stage/Expansion/Early Stage","","","Nashville, Tennessee","United States","","http://venture-capital-firms.findthebest.com/l/761/Petra-Capital-Partners-LLC"
"Sequoia Capital- New Delhi","Early Stage/Expansion/Startup/Seed","","10000000000.0","New Delhi","","2400000000.0","http://venture-capital-firms.findthebest.com/l/806/Sequoia-Capital-New-Delhi"
"Kolohala Ventures","Early Stage/Startup/Seed","","","Honolulu, Hawaii","United States","","http://venture-capital-firms.findthebest.com/l/1312/Kolohala-Ventures"
"TA Associates, Inc-London-United Kingdom","Expansion","50000000000.0","5e+11","London","United Kingdom","18000000000.0","http://venture-capital-firms.findthebest.com/l/231/TA-Associates-Inc-London-United-Kingdom"
"EPIC Ventures-Salt Lake City-Utah","Early Stage/Startup/Seed","","5000000.0","Salt Lake City, Utah","United States","170000000.0","http://venture-capital-firms.findthebest.com/l/420/EPIC-Ventures-Salt-Lake-City-Utah"
"Rocket Ventures","Startup/Seed/Early Stage","","","Toledo, Ohio","United States","","http://venture-capital-firms.findthebest.com/l/596/Rocket-Ventures"
"Trinity Ventures","Early Stage/Startup/Seed","","20000000000.0","Menlo Park, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/66/Trinity-Ventures"
"Atrium Capital Corporation","Early Stage/Startup/Seed","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/1025/Atrium-Capital-Corporation"
"Maveron-San Francisco-California","Early Stage","3000000.0","10000000.0","San Francisco, California","United States","800000000.0","http://venture-capital-firms.findthebest.com/l/859/Maveron-San-Francisco-California"
"Softbank Asia Infrastructure Fund - Beijing - China","Early Stage","10000000000.0","1e+11","Beijing","China","3500000000.0","http://venture-capital-firms.findthebest.com/l/310/Softbank-Asia-Infrastructure-Fund-Beijing-China"
"Emergent Technologies","Startup/Seed/Early Stage","","","Austin, Texas","United States","","http://venture-capital-firms.findthebest.com/l/1260/Emergent-Technologies"
"Khosla Ventures","Early Stage/Expansion/Later Stage/Startup/Seed","","1000000000.0","Menlo Park, California","United States","2350000000.0","http://venture-capital-firms.findthebest.com/l/832/Khosla-Ventures"
"Venrock Associates- Cambridge","Early Stage/Startup/Seed","","","Cambridge, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/77/Venrock-Associates-Cambridge"
"Duchossois Technology Partners LLC-Austin-Texas","Early Stage/Expansion","","","Austin, Texas","United States","","http://venture-capital-firms.findthebest.com/l/433/Duchossois-Technology-Partners-LLC-Austin-Texas"
"CapitalWorks LLC","Early Stage","","","Cleveland, Ohio","United States","","http://venture-capital-firms.findthebest.com/l/317/CapitalWorks-LLC"
"KTB Ventures-Redwood City-California","Early Stage","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/786/KTB-Ventures-Redwood-City-California"
"Rho Ventures - Palo Alto - California","Early Stage/Later Stage/Startup/Seed","","50000000.0","Palo Alto, California","United States","510000000.0","http://venture-capital-firms.findthebest.com/l/592/Rho-Ventures-Palo-Alto-California"
"Greycroft Partners-New York","Early Stage/Expansion/Startup/Seed","","5000000.0","New York, New York","United States","393000000.0","http://venture-capital-firms.findthebest.com/l/632/Greycroft-Partners-New-York"
"Mercury Fund","Startup/Seed/Early Stage","","","Houston, Texas","United States","","http://venture-capital-firms.findthebest.com/l/1330/Mercury-Fund"
"Gabriel Venture Partners","Early Stage/Startup/Seed","3000000.0","6000000.0","San Mateo, California","United States","260000000.0","http://venture-capital-firms.findthebest.com/l/286/Gabriel-Venture-Partners"
"Asset Management Company","Early Stage/Later Stage/Startup/Seed","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/149/Asset-Management-Company"
"Hercules Technology Growth Capital, Inc - Palo Alto - California","Early Stage/Expansion/Startup/Seed","","","Palo Alto, California","United States","3400000000.0","http://venture-capital-firms.findthebest.com/l/156/Hercules-Technology-Growth-Capital-Inc-Palo-Alto-California"
"Kaiser Permanente","Early Stage","","","Oakland, California","United States","","http://venture-capital-firms.findthebest.com/l/271/Kaiser-Permanente"
"Enterprise Partners Venture Capital","Early Stage/Startup/Seed/Later Stage","3000000000.0","10000000000.0","La Jolla, California","United States","1100000000.0","http://venture-capital-firms.findthebest.com/l/422/Enterprise-Partners-Venture-Capital"
"EPIC Ventures-Santa Fe-New mexico","Early Stage/Startup/Seed","","5000000.0","Santa Fe, New Mexico","United States","170000000.0","http://venture-capital-firms.findthebest.com/l/418/EPIC-Ventures-Santa-Fe-New-mexico"
"Corporate Fuel Partners","Early Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1050/Corporate-Fuel-Partners"
