name, funding_total_usd ,funding_rounds,founded_at,first_funding_at,last_funding_at
7 Oaks Pharmaceutical,"1,613,014",1,1/1/97,6/6/11,6/6/11
7 Star Entertainment,"10,000,000",1,,7/14/10,7/14/10
7-bites,"295,000",1,,6/27/13,6/27/13
71lbs,"450,000",4,3/3/11,3/20/12,1/8/13
72Lux,"1,400,000",1,10/1/11,9/1/12,9/1/12
77 Pieces,"650,000",1,5/25/10,3/1/11,3/1/11
777 Davis,"2,875,000",1,1/1/11,10/3/11,10/3/11
7AC Technologies,"9,860,000",4,1/1/09,12/13/11,12/20/13
7billionideas,"47,566",1,1/1/11,4/7/12,4/7/12
7digital,"20,100,000",4,1/1/04,9/1/05,11/25/13
7k7k.com,"7,000,000",1,1/1/03,6/1/10,6/1/10
7mb Technologies,"350,075",1,1/1/13,10/28/13,10/28/13
7signal Solutions,"6,250,000",3,1/1/06,1/1/11,10/15/13
7Summits,"600,000",2,4/1/09,1/1/10,12/19/13
7write,"269,260",2,10/15/12,4/2/13,6/25/13
8 Securities Limited,"11,000,000",2,1/1/11,6/1/11,12/14/12
80/20 Solutions,"2,100,000",1,,8/7/09,8/7/09
800APP,"17,000,000",2,6/23/04,5/11/09,9/21/11
800razors,"100,000",1,1/1/12,2/19/13,2/19/13
8020 Media,,1,6/1/06,1/1/06,1/1/06
80th Street Residence FACC Fund I,"5,100,000",1,1/1/11,11/18/11,11/18/11
8868,,1,,12/1/13,12/1/13
88tc88,,1,,5/21/12,5/21/12
8aweek,,1,1/1/08,3/2/08,3/2/08
8D World,"12,250,000",2,,3/1/08,12/9/10
8digits,,1,1/3/12,6/1/12,6/1/12
8hands,"1,500,000",2,,1/1/08,1/1/08
8thBridge,"15,000,000",2,11/1/08,1/25/10,3/21/11
8tracks Radio,"1,200,000",1,8/8/08,10/1/11,10/1/11
8Trip,"24,600,000",1,1/1/11,11/13/13,11/13/13
8villages,"150,000",1,6/1/11,12/1/13,12/1/13
8x8 Inc,"30,608,728",1,1/1/87,10/3/11,10/3/11
908 Devices,"15,100,000",2,1/1/12,9/5/12,8/27/13
90sec Technologies,"100,000",1,6/30/13,9/1/13,9/1/13
91 Boyuan Wireles,"20,000,000",1,,12/1/11,12/1/11
91 Financial Supermarket,"10,000,000",2,,10/1/11,10/1/13
91 Wireless,"30,000,000",1,1/1/07,12/1/11,12/1/11
91JinRong,"10,000,000",1,,10/31/13,10/31/13
99 Fahrenheit,"1,380,700",1,10/1/11,10/15/11,10/15/11
99Bill,"79,574,271",3,1/1/05,4/26/06,12/19/12
99designs,"35,000,000",1,2/1/08,4/28/11,4/28/11
99dresses,"105,651",2,1/1/10,3/30/12,6/1/12
99Presents,"20,000",1,3/20/12,9/1/12,9/1/12
99tests,"210,000",3,2/14/11,12/1/10,7/22/13
99times.cn,,1,1/1/05,8/23/10,8/23/10
9car Technology LLC,"80,000",2,11/18/09,11/18/09,1/6/10
9facts,"70,000",1,5/1/11,5/1/11,5/1/11
9flats,,1,2/1/11,1/12/12,1/12/12
9GAG,"2,800,000",1,,7/30/12,7/30/12
9Lenses,"4,100,000",2,1/1/10,9/12/13,10/29/13
9Mile Labs,"900,000",1,1/1/13,11/4/13,11/4/13
9SLIDES,"925,000",2,6/1/10,5/30/13,10/3/13
9Star Research,"435,400",1,1/1/02,7/25/11,7/25/11
9tong.com,,1,,7/15/11,7/15/11
9You,"100,000,000",1,,3/20/08,3/20/08
@Pay,"3,500,000",1,5/1/11,7/1/12,7/1/12
A Better Tomorrow Treatment Center,,1,1/1/04,1/10/14,1/10/14
A Bit Lucky,"10,312,103",2,10/1/09,3/15/10,3/25/11
A Curated World,"50,000",1,,4/1/12,4/1/12
A Family First Community Services,"500,000",1,1/1/08,11/1/11,11/1/11
A la Mobile,"7,550,000",2,6/1/05,7/1/05,3/1/07
A LITTLE WORLD,"6,410,000",1,3/2/00,9/9/08,9/9/08
A Smarter City,"15,000",1,3/5/11,3/5/11,3/5/11
A&G Pharmaceutical,"2,100,002",2,,9/8/05,4/27/10
A's Child,,1,10/10/13,11/21/13,11/21/13
A-Gas,"115,837,967",1,,4/21/11,4/21/11
A-Power Energy Generation Systems,"10,200,000",1,1/1/03,1/19/11,1/19/11
A-STAR,,1,5/14/12,7/4/12,7/4/12
A-TEX,,1,,9/7/12,9/7/12
A-Vu Media,"250,000",1,,3/7/11,3/7/11
A.P.Pharma,"24,000,001",1,,7/11/11,7/11/11
A10 Networks,"118,000,000",4,10/1/04,1/1/05,10/3/13
A123 Systems,"502,860,000",8,1/1/01,11/1/05,6/7/12
A4 Data,,1,,4/1/12,4/1/12
AAIPharma Services,"20,000,000",1,1/1/79,1/11/12,1/11/12
Aarden Pharmaceuticals,"500,000",1,1/1/08,1/3/11,1/3/11
Aardvark,"6,000,000",2,7/1/07,1/1/07,10/1/08
Aarki,,3,1/1/10,6/1/11,5/1/13
Aastrom Biosciences,"40,000,000",1,1/1/89,3/9/12,3/9/12
aaTag,"100,000",1,6/1/10,12/29/11,12/29/11
Aava Mobile,"4,260,000",1,1/1/09,6/3/09,6/3/09
AB Group,"1,401,514",1,1/1/10,10/18/10,10/18/10
Abaad Embodied Design LLC,,1,1/1/12,1/1/12,1/1/12
Abacast,"500,000",1,4/2/00,11/11/10,11/11/10
Abacus e-Media,"3,409,316",1,1/1/77,8/1/13,8/1/13
Abakan,"2,934,995",4,1/1/06,5/10/12,6/5/13
Abakus,"825,000",1,1/1/13,12/25/13,12/25/13
Abattis Bioceuticals,"317,279",2,1/1/11,11/3/10,3/21/12
Abaxia,"1,770,000",1,1/1/01,11/8/05,11/8/05
abaXX Technology,"4,540,000",1,1/1/99,3/9/06,3/9/06
Abazab,"4,100,000",1,1/1/97,5/5/06,5/5/06
ABB,"2,700,000",1,1/1/88,9/23/13,9/23/13
AbbeyPost,"125,000",2,8/1/12,7/30/13,1/6/14
Abbott Labs,"100,000",1,1/1/91,3/15/11,3/15/11
ABC Live,"25,000",1,12/5/07,1/5/07,1/5/07
Abcam,"78,799,653",2,1/1/98,6/8/11,4/27/12
abcdexperts,"147,000",1,8/1/10,1/1/11,1/1/11
Abcellute,"805,909",1,1/1/01,9/21/07,9/21/07
Abcodia,"1,622,348",1,,5/25/11,5/25/11
Abe's Market,"9,080,000",4,9/1/09,6/29/10,1/17/13
abeo,"2,012,700",1,,11/30/11,11/30/11
Abeona Therapeutics,"750,000",1,1/1/13,12/16/13,12/16/13
AbGenomics,"26,450,000",2,6/1/00,6/19/12,7/18/13
Abide Therapeutics,"2,250,180",1,1/1/11,11/18/11,11/18/11
Ability Dynamics,"1,500,000",1,1/1/09,2/20/12,2/20/12
ABILITY Network,"33,000,000",3,1/1/00,12/14/06,5/17/11
AbilTo,"3,000,000",1,1/1/08,5/14/13,5/14/13
Abine,"6,467,283",1,1/1/08,7/12/11,7/12/11
Abingdon Health,"4,768,678",1,1/1/08,3/26/12,3/26/12
Abiquo,"25,560,400",8,1/1/06,1/1/08,4/10/13
Abiquo Group,"13,130,737",3,1/1/10,12/9/10,4/10/13
aBIZinaBOX,"500,000",1,8/17/98,10/8/08,10/8/08
Ablative Solutions,"25,930,577",5,1/1/11,1/4/12,2/4/14
Able Device,"50,000",1,,8/27/12,8/27/12
Able Imaging,"500,000",1,,3/7/11,3/7/11
Able Planet,"12,005,448",5,1/1/05,8/17/09,2/1/12
AbleSky,"1,273,000",1,1/1/07,6/29/11,6/29/11
Ablexis,"12,000,000",1,1/1/09,6/4/10,6/4/10
Ablynx,"41,356,350",1,1/1/01,2/28/13,2/28/13
Abodo,"325,000",1,1/3/11,8/26/13,8/26/13
Abound Logic,"3,705,137",1,1/1/93,1/15/09,1/15/09
Abound Solar,"510,000,000",2,1/1/07,7/6/10,12/15/10
about.me,"5,675,000",1,2/5/13,2/5/13,2/5/13
AboutOne,"3,694,003",3,6/1/10,5/1/11,10/9/13
AboutUs.org,"2,500,000",1,1/1/06,1/9/09,1/9/09
Above All Software,"2,100,000",1,1/1/02,6/1/05,6/1/05
Above Security,"2,500,000",1,6/1/99,9/1/04,9/1/04
ABOVE Solutions,"450,000",1,7/1/08,8/16/11,8/16/11
ABPathfinder,"960,000",2,6/1/10,12/5/12,11/25/13
AbraResto,"1,500,000",1,,1/29/14,1/29/14
ABS,"132,500",1,1/1/09,9/19/12,9/19/12
Absio,"2,757,346",3,3/1/09,5/6/10,2/12/13
ABSMaterials,"4,000,000",1,1/1/08,11/24/13,11/24/13
Absolicon Solar Concentrator,"661,000",1,1/1/07,5/12/10,5/12/10
AbsolutData,"20,000,000",1,,8/23/12,8/23/12
Absynth Biologics,"1,287,964",1,1/1/07,7/18/13,7/18/13
ABT Molecular Imaging,"20,064,818",6,1/1/06,1/21/10,12/6/13
Abundance Generation,"4,545,754",1,1/1/09,8/12/13,8/12/13
AC Immune SA,"22,009,460",1,1/1/03,1/9/14,1/9/14
Acacia,"15,000",1,3/10/12,5/20/12,5/20/12
Acacia Communications,"23,000,000",2,1/1/09,12/12/11,5/15/13
Acacia Interactive,"259,910",1,1/1/12,3/29/13,3/29/13
Acacia Living,"2,338,650",1,1/1/10,12/11/13,12/11/13
Acacia Pharma,"33,500,000",2,1/1/06,3/31/11,9/3/13
Acacia Research,"244,600,000",2,1/1/92,2/10/05,2/21/12
ACACIA Semiconductor,"368,000",1,1/1/03,6/3/05,6/3/05
Academia RFID,"4,499,999",1,1/1/05,7/30/12,7/30/12
Academia.edu,"17,800,000",4,9/1/08,11/2/07,9/26/13
Academic Earth,,1,1/1/08,10/1/08,10/1/08
Academica,,1,,8/24/11,8/24/11
AcademixDirect,"10,000,000",1,1/1/04,1/1/09,1/1/09
Academy of Inovation,"50,000",1,2/11/11,2/11/11,2/11/11
ACADIA Pharmaceuticals,"101,385,000",2,,1/11/11,1/2/13
AcadiaSoft,"4,000,000",1,1/1/09,1/8/10,1/8/10
ACAL Energy,"16,424,363",3,8/1/04,12/3/08,6/15/11
Acamica,"130,000",2,7/1/12,7/22/13,1/1/14
Acarix,"4,710,960",1,1/1/09,3/15/13,3/15/13
Accedian Networks,"31,040,000",3,1/1/04,3/9/06,8/4/10
Accedo,"1,270,000",1,1/1/04,6/19/07,6/19/07
Accela,"50,000,000",2,1/1/99,1/1/12,10/16/13
Accelera Innovations,"200,000,000",1,,10/24/13,10/24/13
Accelera Mobile Broadband,"3,033,472",1,1/1/09,5/10/13,5/10/13
Accelerate Diagnostics,"18,016,244",3,1/1/04,3/23/10,8/26/13
Accelerate Mobile Apps,"250,000",1,1/1/09,12/22/09,12/22/09
Accelerated IO,"3,255,325",2,1/1/97,11/5/09,3/28/12
Accelerated Orthopedic Technologies,"150,000",1,,5/18/12,5/18/12
Accelerated Vision Group,"8,500,000",2,1/1/11,5/21/12,10/25/13
Accelereach,"50,000",1,,8/1/09,8/1/09
Accelerize New Media,"1,045,500",2,1/1/05,5/10/10,10/26/10
Acceleron Pharma,"113,701,127",6,1/1/04,8/2/06,12/23/11
AccelGolf,"457,282",7,8/1/08,1/1/08,12/4/09
Accelitec,"5,705,841",3,1/1/01,5/15/09,6/11/13
Accellion,"13,410,901",2,1/1/99,1/4/12,3/9/12
Accellos,"51,400,000",3,1/1/06,11/17/06,10/16/12
AccelOps,"25,000,000",2,1/1/07,10/1/07,5/1/12
AcceloWeb,,1,1/1/09,7/19/09,7/19/09
Accendo Technologies,"1,560,000",1,1/1/02,1/25/05,1/25/05
Accendo Therapeutics,"4,000,000",1,1/1/10,12/29/11,12/29/11
Accent,"20,209,960",2,,7/17/06,10/12/10
Accentia Biopharmaceuticals Inc,"775,000",2,,2/8/12,6/25/13
Accept Software,"25,305,000",4,1/1/02,9/16/05,12/14/10
Acceptd,"1,020,000",2,1/1/11,6/1/11,6/13/13
Accera,"138,581,610",5,1/1/01,9/16/04,10/25/13
Accertify,"4,700,000",2,3/1/07,6/3/08,5/4/10
Access Closure,"10,998,098",2,1/1/02,3/3/10,10/1/12
Access Information Management,,1,,9/7/11,9/7/11
Access Intelligence,"7,380,000",2,,7/1/09,3/1/10
Access Media 3,"30,000,000",1,1/1/07,2/9/12,2/9/12
Access MediQuip,"46,900,000",1,1/1/97,1/13/13,1/13/13
access mobile,"112,500",1,1/1/10,6/26/13,6/26/13
Access Network,"3,200,000",2,1/1/08,4/1/10,4/1/11
Access Northeast,"1,999,998",1,1/1/99,11/23/09,11/23/09
Access Pharmaceuticals,"15,581,502",2,,11/14/11,11/6/12
Access Point,"4,500,000",1,8/22/08,1/26/10,1/26/10
Access Psychiatry Solutions,"250,000",1,1/1/11,5/20/11,5/20/11
Access Scientific,"19,376,001",5,1/1/04,6/11/10,6/21/12
Access Systems,"1,300,000",1,,4/1/12,4/1/12
Access UK,"80,157,014",1,,3/30/11,3/30/11
Accessbio,"12,000,000",1,,5/25/11,5/25/11
"AccessClosure, Inc.","2,795,000",1,1/1/02,1/1/12,1/1/12
AccessData,"45,000,000",2,1/1/87,3/15/13,3/15/13
AccessSportsMedia.com,"20,000,000",2,1/1/03,10/29/08,1/5/11
Accion,"23,000,000",2,1/1/61,12/7/11,6/26/12
Accion Texas,"2,800,000",1,1/1/94,9/25/13,9/25/13
Accipiter Radar,"4,700,000",1,1/1/94,9/4/13,9/4/13
Accipiter Systems,"4,979,639",4,1/1/02,2/29/12,1/2/14
Acclaim Games,,1,12/24/97,10/18/07,10/18/07
Acclaimd,"90,000",2,2/1/12,6/1/12,8/7/12
Acclaris Holdings,"35,100,000",1,1/1/10,7/12/10,7/12/10
Acco Brands,"10,000,000",1,1/1/47,2/1/07,2/1/07
ACCO Semiconductor,"22,188,066",2,1/1/94,9/15/10,2/6/13
Accolade,"50,944,444",3,1/1/07,1/21/10,12/22/13
Accolo,,1,1/1/00,6/1/07,6/1/07
Accord Biomaterials,"1,200,000",1,1/1/08,10/21/10,10/21/10
