Company,City,Industry,Amount raised,Investors,Type of Financing,Quarter,What the co. does
"IBRIX, Inc.","Billerica, MA",Software,14000000,"JT Venture Partners, LLC, Undisclosed Venture Firm",4,Q3/06,"Provides application performance to enterprise computing environments."
"Idiom Technologies, Inc.","Waltham, MA",Software,4000000,"North Bridge Venture Partners, Undisclosed Venture Firm",6,Q3/06,"Provides enterprise globalization software and services."
"InvisibleCRM, Inc.","Boston, MA",Software,1500000,"AS Martinson Trigon Venture Partners (AKA: MTVP), Undisclosed Venture Firm",1,Q3/06,"Develops customer relationship management (CRM) applications."
"JumpTap, Inc.","Cambridge, MA",Telecommunications,22000000,"BCE Capital, General Catalyst Partners (FKA: General Catalyst Group LLC), Redpoint Ventures, Valhalla Partners",2,Q3/06,"'Provides end-to-end, carrier-branded mobile search solution.'"
"Liquid Machines, Inc.","Waltham, MA",Software,7500000,"Atlas Venture, Ltd., Draper Fisher Jurvetson New England (AKA: DFJ/NE), Goldman, Sachs & Co., Masthead Venture Partners , Undisclosed Investor, Undisclosed Venture Firm",5,Q3/06,"Develops enterprise and information security management software."
"Mall Networks, Inc.","Lexington, MA",Software,2000000,"IDG Ventures Boston, Undisclosed Non Venture Firm, Venture Capital Fund of New England, The",3,Q3/06,"Develops next-generation shopping portals for Online merchants."
Mintera Corporation,"Acton, MA",Telecommunications,10000300,"Court Square Ventures, LLC, Individuals, Polaris Venture Partners, Portview Communications Ltd, RRE Ventures LLC, SVM STAR Ventures Management, Undisclosed Investor",3,Q3/06,"Develops intelligent photonic transport solutions."
"Mobixell Networks, Inc.","Wellesley, MA",Telecommunications,8000000,"Apax Partners Worldwide, Intel Capital, Undisclosed Investor",5,Q3/06,"Provides a media aware mobile internet platform for wireless operators."
"Nexaweb Technologies, Inc.","Burlington, MA",Software,10000000,"Egan-Managed Capital, Masthead Venture Partners , Undisclosed Venture Firm, Velocity Equity Partners LLC",5,Q3/06,"Develops software for building and deploying Internet Applications."
"NitroSecurity, Inc.","Portsmouth, NH",Software,1964100,"Brookline Venture Partners, First Analysis Corporation",3,Q3/06,"Provides intrusion prevention solutions for enterprise networks."
RemoteReality Corporation (FKA: CycloVision Technologies),"Westborough, MA",Computers and Peripherals,7300000,"Chart Venture Partners, Undisclosed Venture Firm",4,Q3/06,"Develops panoramic video Web cameras and related software."
"Reflexis Systems, Inc.","Norwood, MA",Retailing/Distribution,10000000,"Pequot Capital Management, Inc.",1,Q3/06,"Develops integrated retail execution management solutions."
"RedTail Solutions, Inc. (FKA: Advance-com Corporation)","Westborough, MA",Software,1000000,"Venture Capital Fund of New England, The",5,Q3/06,"Provides software and services for the exchange of business transactions."
"Pragmatech Software, Inc.","Nashua, NH",Software,700000,"Kodiak Venture Partners, North Bridge Venture Partners",3,Q3/06,"Develops sales effectiveness software solutions."
"Polatis, Inc.","Billerica, MA",Networking and Equipment,1000000,"Flagship Ventures , Undisclosed Venture Firm",1,Q3/06,"Provides solutions for optical layer connectivity."
"Optasite, Inc.","Westborough, MA",Telecommunications,9999700,"Berkshires Capital Investors, Centennial Ventures, Columbia Capital LLC, Highland Capital Partners LLC, Kestrel Management LLC, Key Venture Partners, Mass Mutual Corporate Investors, Inc., Shepherd Group LLC, The, Undisclosed Investor, Worcester Capital P",9,Q3/06,"Provides telecommunications infrastructure and tower acquisition services."
"NitroSecurity, Inc.","Portsmouth, NH",Software,1964100,"Brookline Venture Partners, First Analysis Corporation",3,Q3/06,"Provides intrusion prevention solutions for enterprise networks."
"Nexaweb Technologies, Inc.","Burlington, MA",Software,10000000,"Egan-Managed Capital, Masthead Venture Partners , Undisclosed Venture Firm, Velocity Equity Partners LLC",5,Q3/06,"Develops software for building and deploying Internet Applications."
"Mobixell Networks, Inc.","Wellesley, MA",Telecommunications,8000000,"Apax Partners Worldwide, Intel Capital, Undisclosed Investor",5,Q3/06,"Provides a media aware mobile internet platform for wireless operators."
Mintera Corporation,"Acton, MA",Telecommunications,10000300,"Court Square Ventures, LLC, Individuals, Polaris Venture Partners, Portview Communications Ltd, RRE Ventures LLC, SVM STAR Ventures Management, Undisclosed Investor",3,Q3/06,"Develops intelligent photonic transport solutions."
"Mall Networks, Inc.","Lexington, MA",Software,2000000,"IDG Ventures Boston, Undisclosed Non Venture Firm, Venture Capital Fund of New England, The",3,Q3/06,"Develops next-generation shopping portals for Online merchants."
"Liquid Machines, Inc.","Waltham, MA",Software,7500000,"Atlas Venture, Ltd., Draper Fisher Jurvetson New England (AKA: DFJ/NE), Goldman, Sachs & Co., Masthead Venture Partners , Undisclosed Investor, Undisclosed Venture Firm",5,Q3/06,"Develops enterprise and information security management software."
"Compellent Technologies, Inc.","Eden Prairie, MN",IT Services,15000000,"Affinity Capital Management, Cargill Ventures, Centennial Ventures, Crescendo Venture Management LLC, El Dorado Ventures, Nomura International PLC, Undisclosed Venture Firm",5,Q3/06,"Develops modular storage solutions."
"Gearworks, Inc.","Eagan, MN",Software,3000000,"BlueStream Ventures, Concentric Equity Partners, L.P., Coral Capital Management, IGNITE Group, The (AKA: Ignite Associates, LLC), Undisclosed Investor",9,Q3/06,"Provides mobile workforce management software."
"Infobionics, Inc.","Saint Paul, MN",IT Services,0,"In-Q-Tel, Inc.",1,Q3/06,"Provides cellular database solution for data management and analysis."
"Ambric, Inc.","Beaverton, OR",Semiconductors,1300000,"ComVentures (AKA: Communications Ventures), OVP Venture Partners (FKA: Olympic Venture Partners)",4,Q3/06,"Provides electronics and semiconductors."
"Auctionpay, Inc.","Portland, OR",Software,5500000,"Appian Ventures, Maveron LLC",2,Q3/06,"Provides payment processing solutions for the non-profit industry."
"Avalara, Inc.","Bainbridge Island, WA",Software,1000000,"Benaroya Capital Company, Undisclosed Venture Firm",4,Q3/06,"Delivers scalable sales tax solutions through the web."
Avnera Corporation,"Beaverton, OR",Semiconductors,10614000,"Bessemer Venture Partners, Individuals, Intel Capital, JAFCO Ventures, Redpoint Ventures",3,Q3/06,"Develops low power semiconductors for wireless audio and video market."
"Callison Architecture, Inc.","Seattle, WA",Business Products and Services,0,Blue Point Capital Partners (FKA: Key Equity Capital),1,Q3/06,"Provides professional architectural and design services."
"Cequint, Inc.","Seattle, WA",Software,750000,"Benaroya Capital Company, Undisclosed Venture Firm",2,Q3/06,"Develops software and hardware applications for wireless mobile devices."
"Cozi Group, Inc. (FKA: Kasayka Corporation)","Seattle, WA",Software,1000000,"Benaroya Capital Company, Undisclosed Venture Firm",2,Q3/06,"Creates technology that would address the needs of family life."
Intrepid Learning Solutions,"Seattle, WA",Business Products and Services,180000,"Rustic Canyon Partners(FKA: TMCT Ventures, L.P.), Undisclosed Venture Firm",5,Q3/06,"Designs and develops instructor-led and e-learning services and courseware."
"Jobster, Inc.","Seattle, WA",Business Products and Services,18000000,"Ignition Partners (FKA: Ignition Corporation), Mayfield Fund, Reed Elsevier Ventures, Trinity Ventures",4,Q3/06,"Develops online recruiting tools and services."
Kryptiq Corporation,"Hillsboro, OR",Software,6573000,"Shelter Capital Partners LLC, SmartForest Ventures , Undisclosed Corporate Investor, Undisclosed Investor, Voyager Capital",3,Q3/06,"Provides middleware platforms for automating healthcare workflows."
"PolyServe, Inc.","Beaverton, OR",Software,8901000,"Greylock Partners, New Enterprise Associates, Roda Group, The",6,Q3/06,"Develops shared data clustering software for Internet data centers."
SinglePoint (FKA: Wireless Services Corporation),"Bellevue, WA",Telecommunications,9245000,"Ignition Partners (FKA: Ignition Corporation), Intel Capital, Madrona Venture Group, Northwest Venture Associates, Inc.(FKA:Spokane Capital Mgmt), Seaport Capital, Undisclosed Venture Firm",6,Q3/06,"Provides outsourced wireless communications services."
"Site9, Inc.","Portland, OR",IT Services,1100000,Undisclosed Venture Firm,1,Q3/06,"Provides web design and internet marketing services."
Telecom Transport Management (FKA: CapBack),"Seattle, WA",Telecommunications,7000000,"Ignition Partners (FKA: Ignition Corporation), Seapoint Ventures, Trilogy Equity Partners, LLC, Undisclosed Venture Firm",4,Q3/06,"Provides wireless communications services."
"Twisted Pair Solutions, Inc.","Seattle, WA",Software,9000000,"Chart Venture Partners, Core Capital Partners, Ignition Partners (FKA: Ignition Corporation)",1,Q3/06,"Designs and builds IP-based group communications software."
"Values of n, Inc.","Portland, OR",Software,510000,"Individuals, Mountain Ventures Inc., Sherpalo Ventures, Undisclosed Investor",1,Q3/06,"Provides technological solutions for problems of groups."
"17a-4, LLC","New York, NY",Business Products and Services,1000000,"Inclusive Ventures, LLC",1,Q3/06,"Provider of email archival and compliance solutions."
"Axioma, Inc.","New York, NY",Software,2620000,"TL Ventures (FKA: Radnor Venture Partners), Undisclosed Venture Firm",2,Q3/06,"Develops software solutions for risk and investment management."
Blue Flame Data,"New York, NY",Software,1000000,"Battery Ventures, L.P.",2,Q3/06,"Develops software designed to provide insights for customer preferences."
Cirrata,"Stamford, CT",Software,700000,"Connecticut Innovations, Inc.",1,Q3/06,"Provides information management solutions for individuals & organizations."
"Crisp Wireless, Inc.","New York, NY",Telecommunications,0,Meritage Private Equity Funds,1,Q3/06,"Provides mobile applications and content management solutions."
"eFashion Solutions, LLC","Secaucus, NJ",Software,17400000,"ABS Capital Partners, Piper Jaffray Ventures, Seacoast Capital",2,Q3/06,"Provides outsourced ecommerce services to the fashion apparel market."
"Enforsys, Inc.","Roseland, NJ",Software,12500000,HSH Nordbank Kapital (FKA: Schleswig-Holsteinische),1,Q3/06,"Provides a suite of Public Safety software & services."
"Evolution Markets, Inc.","White Plains, NY",Business Products and Services,14000000,CCP Equity Partners (FKA: Conning Capital Partners),1,Q3/06,"Provides consulting and risk-management advisory services."
"Genesis Networks, Inc.","New York, NY",Telecommunications,8000000,"Longworth Venture Partners, L.P., Masthead Venture Partners",1,Q3/06,"Provides customized global video transmission services."
"M5 Networks, Inc.","New York, NY",Telecommunications,7750000,"Edison Venture Fund, Greycroft Partners, Milestone Venture Partners",1,Q3/06,"Provides outsourced IP phone system solutions."
